distance,minute,hour,GEOID
12.56716257,21.86596159,0.364432693,130630406271
13.21974019,23.24926103,0.387487684,130630406272
11.46437455,19.41850305,0.323641718,130630406273
14.20375313,23.2386002,0.387310003,130630406281
18.28022469,24.43091525,0.407181921,130630406282
8.93193467,15.76627675,0.262771279,130630406291
9.30686325,14.36493741,0.239415624,130630406292
8.74544813,13.56453603,0.226075601,130630406301
10.88969294,16.2500911,0.270834852,130630406302
9.45104063,14.51664252,0.241944042,130630406303
13.23096869,21.32884241,0.355480707,130630406311
14.27914394,23.58578609,0.393096435,130630406312
12.51509979,20.90563635,0.348427273,130630406313
12.47286104,20.54447962,0.342407994,130630406314
11.97564048,16.0067533,0.266779222,130630406321
13.08044121,16.25376693,0.270896116,130630406322
13.26858231,16.65517715,0.277586286,130630406323
12.51331508,17.98685172,0.299780862,130630406324
12.62908826,18.64866899,0.31081115,130630406331
11.07132009,15.24571978,0.25409533,130630406332
10.84107661,18.23203952,0.303867325,130630406341
10.47488566,17.46317657,0.291052943,130630406342
10.28315809,16.52623905,0.275437318,130630406351
11.84797587,20.21601892,0.336933649,130630406352
21.04737713,34.60748966,0.576791494,130630406361
23.26136184,34.73872821,0.578978804,130630406362
17.22412643,28.76694748,0.479449125,130630406363
17.29388357,28.70421288,0.478403548,130630406371
17.26941152,27.85776935,0.464296156,130630406372
19.03292552,31.19333059,0.519888843,130630406381
18.05792198,32.570935,0.542848917,130630406382
17.88278545,28.81195542,0.480199257,130630406391
18.00133627,30.35053436,0.505842239,130630406392
41.39946823,50.97639654,0.849606609,130670301043
39.06135522,50.42629841,0.840438307,130670301073
38.65862567,50.5172659,0.841954432,130670301074
41.0472382,55.54422935,0.925737156,130670301082
41.0216396,56.04287462,0.93404791,130670301083
46.92864772,58.71974895,0.978662483,130670301092
39.5168284,53.87898564,0.897983094,130670301101
40.59051494,55.55210004,0.925868334,130670301102
42.49171111,54.07470048,0.901245008,130670301111
40.9762358,54.6062878,0.910104797,130670301112
40.59230571,53.41383448,0.890230575,130670301113
40.90452668,50.43212078,0.840535346,130670301121
41.37350357,51.86683054,0.864447176,130670301122
41.99971896,52.87351335,0.881225223,130670301131
41.41668884,52.21460508,0.870243418,130670301132
36.36486247,52.49359792,0.874893299,130670302333
36.29217632,51.10169724,0.851694954,130670302353
36.28465804,50.87979512,0.847996585,130670302354
41.7790739,60.40544594,1.006757432,130670302362
31.46912235,44.37079429,0.739513238,130670303191
29.641696,42.32130668,0.705355111,130670303192
39.09684912,53.25040421,0.887506737,130670303221
38.30722737,51.86733403,0.864455567,130670303222
39.18600183,53.7372049,0.895620082,130670303241
40.67644518,53.55391059,0.892565177,130670303242
40.36054236,55.6540772,0.927567953,130670303261
39.9267624,54.01489228,0.900248205,130670303262
38.55105982,54.92931483,0.915488581,130670303263
33.15333316,47.78085266,0.796347544,130670303271
34.29627188,49.41557867,0.823592978,130670303272
31.29002563,44.16392682,0.736065447,130670303291
32.55980582,45.07393974,0.751232329,130670303292
34.09941965,48.33156432,0.805526072,130670303311
33.13402387,46.93476741,0.782246124,130670303312
32.72144707,46.08184814,0.768030802,130670303313
32.50456112,46.11195591,0.768532599,130670303321
32.61430217,45.76869152,0.762811525,130670303322
30.83806163,43.85656066,0.730942678,130670303341
33.45842359,47.61873831,0.793645639,130670303342
35.1571096,48.74910628,0.812485105,130670303351
35.86045497,51.56711135,0.859451856,130670303352
35.53850125,49.86842176,0.831140363,130670303371
31.42315206,49.62002493,0.827000416,130670303372
31.68699384,44.75655314,0.745942552,130670303373
38.54627783,53.33404482,0.888900747,130670303401
38.48308656,51.33512404,0.855585401,130670303402
38.36984516,52.52177714,0.875362952,130670303411
39.93430864,53.05452046,0.884242008,130670303412
36.95250989,52.40625941,0.873437657,130670303421
39.00397153,56.39619849,0.939936642,130670303422
36.13853592,51.52250357,0.858708393,130670303431
36.93255647,53.01819297,0.88363655,130670303432
38.68150368,55.02211384,0.917035231,130670303433
25.21802994,34.30693984,0.571782331,130670303441
24.0728216,32.63291405,0.543881901,130670303442
23.86975073,32.68573311,0.544762219,130670303443
23.57553724,32.59204414,0.543200736,130670303451
23.36751775,31.67620308,0.527936718,130670303452
22.88748173,32.07908882,0.53465148,130670303453
25.57952047,34.29763846,0.571627308,130670304051
25.21293167,33.35811808,0.555968635,130670304052
27.72699301,37.66867104,0.627811184,130670304053
27.54205825,37.06973954,0.617828992,130670304054
27.86299815,39.61132368,0.660188728,130670304071
27.56240104,36.72581988,0.612096998,130670304072
27.17768789,36.64487523,0.610747921,130670304073
26.4659111,37.52350166,0.625391694,130670304081
27.28229352,38.71163344,0.645193891,130670304082
30.55260179,45.25123214,0.754187202,130670304091
30.76072769,42.11919356,0.701986559,130670304092
28.9609784,40.24850899,0.670808483,130670304101
29.78275637,40.73951313,0.678991886,130670304102
25.51306858,34.44683259,0.574113877,130670304111
26.8700566,35.51974703,0.591995784,130670304112
26.01825385,35.32733807,0.588788968,130670304113
27.15988418,37.94875553,0.632479259,130670304121
26.30583264,36.14609883,0.602434981,130670304122
26.55884413,36.19325381,0.603220897,130670304123
25.60278459,35.11419143,0.585236524,130670304131
25.46631008,34.48031344,0.574671891,130670304132
25.84592677,35.41395317,0.590232553,130670304133
25.77053279,34.3423757,0.572372928,130670304141
24.86465731,35.1185489,0.585309148,130670304142
29.58358864,39.6389439,0.660649065,130670305051
29.03076642,39.20422144,0.653403691,130670305052
28.99372279,40.63779056,0.677296509,130670305053
27.78969278,35.27125211,0.587854202,130670305054
33.46141431,43.93179412,0.732196569,130670305061
33.22420387,43.93489702,0.732248284,130670305062
34.85836185,46.95375943,0.782562657,130670305071
34.04161407,45.52775286,0.758795881,130670305072
33.08538749,46.21466473,0.770244412,130670306021
32.13181316,44.18188895,0.736364816,130670306022
31.40363395,41.21352608,0.686892101,130670306023
30.97228865,41.39751693,0.689958616,130670306024
29.6139853,38.84551294,0.647425216,130670307001
29.82381962,39.2556355,0.654260592,130670307002
30.06785892,40.34532679,0.672422113,130670307003
29.06369345,38.16348967,0.636058161,130670307004
28.58662192,39.25463648,0.654243941,130670308001
27.63274591,37.57594905,0.626265818,130670308002
28.65122369,38.27441416,0.637906903,130670308003
27.80714472,39.5524127,0.659206878,130670310011
27.52754057,40.95020173,0.682503362,130670310012
26.56687927,36.5460272,0.609100453,130670310013
