GEOID,NAME,variable,population,moe,distance,minute,hour,geometry
131350507364,"Block Group 4, Census Tract 507.36, Gwinnett County, Georgia",B01003_001,2096,1629,36.67906421,51.90321322,0.865053554,"list(list(c(-83.967264, -83.967367, -83.966461, -83.962244, -83.96066, -83.959835, -83.954939, -83.953297, -83.954225, -83.956094, -83.955125, -83.958429, -83.95471, -83.966688, -83.967131, -83.967953, -83.967264, 33.80807, 33.812849, 33.814518, 33.819049, 33.823036, 33.821731, 33.818675, 33.816629, 33.81406, 33.813421, 33.811661, 33.808899, 33.807787, 33.798679, 33.803972, 33.805763, 33.80807)))"
131210113015,"Block Group 5, Census Tract 113.01, Fulton County, Georgia",B01003_001,1076,557,7.57862787,15.18506127,0.253084355,"list(list(c(-84.486538, -84.482185, -84.482173, -84.47854, -84.476341, -84.474082, -84.474149, -84.475136, -84.475408, -84.475462, -84.476428, -84.486554, -84.486538, 33.68956, 33.691088, 33.692711, 33.692649, 33.69263, 33.692424, 33.691099, 33.688902, 33.686983, 33.683847, 33.681486, 33.681319, 33.68956)))"
130670304072,"Block Group 2, Census Tract 304.07, Cobb County, Georgia",B01003_001,1317,560,27.56240104,36.72581988,0.612096998,"list(list(c(-84.498593, -84.497587, -84.495669, -84.493423, -84.489332, -84.487519, -84.486278, -84.482324, -84.486165, -84.48671, -84.488392, -84.493074, -84.497343, -84.498668, -84.498593, 33.94888, 33.951711, 33.950933, 33.949924, 33.948178, 33.947397, 33.946831, 33.945077, 33.944288, 33.937714, 33.937064, 33.940625, 33.944308, 33.945505, 33.94888)))"
130890220132,"Block Group 2, Census Tract 220.13, DeKalb County, Georgia",B01003_001,1080,408,22.93699331,26.37576479,0.43959608,"list(list(c(-84.232091, -84.227134, -84.227228, -84.22624, -84.225832, -84.224229, -84.224237, -84.223107, -84.223102, -84.222858, -84.222756, -84.220726, -84.220752, -84.226439, -84.228976, -84.231154, -84.231172, -84.231201, -84.232792, -84.232091, 33.824866, 33.825164, 33.824685, 33.823173, 33.822875, 33.822848, 33.822407, 33.822098, 33.822029, 33.819078, 33.818423, 33.818215, 33.817933, 33.818619, 33.818901, 33.818715, 33.818965, 33.821218, 33.824227, 33.824866)))"
131210101291,"Block Group 1, Census Tract 101.29, Fulton County, Georgia",B01003_001,628,221,23.41467897,33.29273444,0.554878907,"list(list(c(-84.370369, -84.368603, -84.36544, -84.363713, -84.361782, -84.361786, -84.3647, -84.367259, -84.37051, -84.370259, -84.370794, -84.370369, 33.910158, 33.910675, 33.910128, 33.909992, 33.910126, 33.908946, 33.907172, 33.906775, 33.904293, 33.907692, 33.910139, 33.910158)))"
131210069003,"Block Group 3, Census Tract 69, Fulton County, Georgia",B01003_001,1162,257,11.62625166,18.65697052,0.310949509,"list(list(c(-84.368489, -84.36848, -84.368421, -84.36572, -84.3638, -84.363352, -84.361117, -84.360674, -84.354097, -84.353028, -84.35365, -84.353187, -84.354121, -84.355575, -84.356228, -84.359032, -84.36096, -84.363123, -84.368547, -84.368489, 33.721258, 33.721899, 33.726247, 33.72715, 33.728289, 33.727556, 33.72716, 33.727099, 33.726182, 33.725302, 33.724669, 33.722179, 33.715941, 33.716737, 33.717019, 33.717047, 33.717059, 33.717074, 33.71711, 33.721258)))"
131510703241,"Block Group 1, Census Tract 703.24, Henry County, Georgia",B01003_001,2422,641,24.35110431,31.93954794,0.532325799,"list(list(c(-84.180767, -84.180256, -84.179744, -84.17803, -84.177874, -84.177286, -84.176596, -84.17514, -84.167916, -84.164997, -84.164487, -84.161993, -84.156441, -84.157042, -84.154631, -84.154934, -84.150382, -84.151931, -84.151807, -84.151739, -84.152768, -84.153189, -84.153881, -84.154811, -84.156653, -84.161124, -84.174892, -84.181388, -84.180767, 33.428208, 33.428861, 33.429425, 33.431231, 33.431363, 33.431837, 33.432401, 33.433431, 33.433914, 33.434812, 33.434977, 33.435476, 33.434024, 
33.43206, 33.431635, 33.429759, 33.429694, 33.425908, 33.423963, 33.423874, 33.417848, 33.416918, 33.415962, 33.415164, 33.414047, 33.411383, 33.422255, 33.427461, 33.428208)))"
131210023002,"Block Group 2, Census Tract 23, Fulton County, Georgia",B01003_001,507,286,13.15629898,19.03697442,0.317282907,"list(list(c(-84.419584, -84.417428, -84.417396, -84.415488, -84.414493, -84.414513, -84.414521, -84.414697, -84.414758, -84.417468, -84.419614, -84.419584, 33.767107, 33.767094, 33.770034, 33.770083, 33.770084, 33.768235, 33.767374, 33.766426, 33.763454, 33.763475, 33.763487, 33.767107)))"
130890234434,"Block Group 4, Census Tract 234.43, DeKalb County, Georgia",B01003_001,1699,520,11.64075966,15.55635039,0.259272507,"list(list(c(-84.310185, -84.307296, -84.307231, -84.303024, -84.304527, -84.304589, -84.303288, -84.301954, -84.297783, -84.297178, -84.295091, -84.2949, -84.286495, -84.286487, -84.286048, -84.284932, -84.282455, -84.296622, -84.308258, -84.308574, -84.31047, -84.310185, 33.650173, 33.650901, 33.652932, 33.653768, 33.655296, 33.659185, 33.659925, 33.66049, 33.660452, 33.660352, 33.659752, 33.659719, 33.658118, 33.657396, 33.65574, 33.651926, 33.647057, 33.647108, 33.647222, 33.647947, 33.648338, 
33.650173)))"
130459107053,"Block Group 3, Census Tract 9107.05, Carroll County, Georgia",B01003_001,1954,618,39.50768032,49.38106565,0.823017761,"list(list(c(-85.011829, -85.010027, -85.006458, -85.005306, -85.003157, -85.000906, -84.998645, -84.998515, -84.977219, -84.977136, -84.975718, -84.976537, -84.97788, -84.977018, -84.97727, -84.977966, -84.978102, -84.980077, -84.983477, -84.984901, -84.987292, -84.992675, -84.995728, -84.99869, -85.000348, -85.007743, -85.013188, -85.011829, 33.58307, 33.590652, 33.597842, 33.598995, 33.600911, 33.601432, 33.603818, 33.607254, 33.606967, 33.603884, 33.5997, 33.595992, 33.593744, 33.587677, 33.584761, 
33.583246, 33.579407, 33.579788, 33.582285, 33.582694, 33.582129, 33.579615, 33.580159, 33.581817, 33.582136, 33.582318, 33.579862, 33.58307)))"
